Measure,Component,CodeSystem,Code,Grouping_ID,Diag_Type
Alcohol_SBIRT,Denominator,CPT,99201,,
Alcohol_SBIRT,Denominator,CPT,99202,,
Alcohol_SBIRT,Denominator,CPT,99203,,
Alcohol_SBIRT,Denominator,CPT,99204,,
Alcohol_SBIRT,Denominator,CPT,99205,,
Alcohol_SBIRT,Denominator,CPT,99211,,
Alcohol_SBIRT,Denominator,CPT,99212,,
Alcohol_SBIRT,Denominator,CPT,99213,,
Alcohol_SBIRT,Denominator,CPT,99214,,
Alcohol_SBIRT,Denominator,CPT,99215,,
Alcohol_SBIRT,Denominator,CPT,99241,,
Alcohol_SBIRT,Denominator,CPT,99242,,
Alcohol_SBIRT,Denominator,CPT,99243,,
Alcohol_SBIRT,Denominator,CPT,99244,,
Alcohol_SBIRT,Denominator,CPT,99245,,
Alcohol_SBIRT,Denominator,CPT,99341,,
Alcohol_SBIRT,Denominator,CPT,99342,,
Alcohol_SBIRT,Denominator,CPT,99343,,
Alcohol_SBIRT,Denominator,CPT,99344,,
Alcohol_SBIRT,Denominator,CPT,99345,,
Alcohol_SBIRT,Denominator,CPT,99347,,
Alcohol_SBIRT,Denominator,CPT,99348,,
Alcohol_SBIRT,Denominator,CPT,99349,,
Alcohol_SBIRT,Denominator,CPT,99350,,
Alcohol_SBIRT,Denominator,CPT,99383,,
Alcohol_SBIRT,Denominator,CPT,99384,,
Alcohol_SBIRT,Denominator,CPT,99385,,
Alcohol_SBIRT,Denominator,CPT,99386,,
Alcohol_SBIRT,Denominator,CPT,99387,,
Alcohol_SBIRT,Denominator,CPT,99393,,
Alcohol_SBIRT,Denominator,CPT,99394,,
Alcohol_SBIRT,Denominator,CPT,99395,,
Alcohol_SBIRT,Denominator,CPT,99396,,
Alcohol_SBIRT,Denominator,CPT,99397,,
Alcohol_SBIRT,Denominator,CPT,99401,,
Alcohol_SBIRT,Denominator,CPT,99402,,
Alcohol_SBIRT,Denominator,CPT,99403,,
Alcohol_SBIRT,Denominator,CPT,99404,,
Alcohol_SBIRT,Denominator,CPT,99408,,
Alcohol_SBIRT,Denominator,CPT,99409,,
