Measure,Component,CodeSystem,Code,Grouping_ID,Diag_Type
Hypertension,Denom_Hypertens,SNOMEDCT,10725009,,
Hypertension,Denom_Hypertens,SNOMEDCT,1201005,,
Hypertension,Denom_Hypertens,SNOMEDCT,371125006,,
Hypertension,Denom_Hypertens,ICD9CM-Diag,4010,,
Hypertension,Denom_Hypertens,ICD9CM-Diag,4011,,
Hypertension,Denom_Hypertens,ICD9CM-Diag,4019,,
Hypertension,Denom_Hypertens,SNOMEDCT,429457004,,
Hypertension,Denom_Hypertens,SNOMEDCT,46481004,,
Hypertension,Denom_Hypertens,SNOMEDCT,48146000,,
Hypertension,Denom_Hypertens,SNOMEDCT,56218007,,
Hypertension,Denom_Hypertens,SNOMEDCT,59621000,,
Hypertension,Denom_Hypertens,SNOMEDCT,59720008,,
Hypertension,Denom_Hypertens,SNOMEDCT,65518004,,
Hypertension,Denom_Hypertens,SNOMEDCT,78975002,,
Hypertension,Denom_Hypertens,ICD10CM-Diag,I10,,
Hypertension,Denom_Service,SNOMEDCT,185463005,,
Hypertension,Denom_Service,SNOMEDCT,185464004,,
Hypertension,Denom_Service,SNOMEDCT,185465003,,
Hypertension,Denom_Service,SNOMEDCT,3391000175108,,
Hypertension,Denom_Service,SNOMEDCT,439740005,,
Hypertension,Denom_Service,CPT,99201,,
Hypertension,Denom_Service,CPT,99202,,
Hypertension,Denom_Service,CPT,99203,,
Hypertension,Denom_Service,CPT,99204,,
Hypertension,Denom_Service,CPT,99205,,
Hypertension,Denom_Service,CPT,99212,,
Hypertension,Denom_Service,CPT,99213,,
Hypertension,Denom_Service,CPT,99214,,
Hypertension,Denom_Service,CPT,99215,,
Hypertension,Denom_Service,CPT,99395,,
Hypertension,Denom_Service,CPT,99396,,
Hypertension,Denom_Service,CPT,99397,,
Hypertension,Denom_Service,CPT,99385,,
Hypertension,Denom_Service,CPT,99386,,
Hypertension,Denom_Service,CPT,99387,,
Hypertension,Denom_Service,SNOMEDCT,185460008,,
Hypertension,Denom_Service,SNOMEDCT,185462000,,
Hypertension,Denom_Service,SNOMEDCT,185466002,,
Hypertension,Denom_Service,SNOMEDCT,185467006,,
Hypertension,Denom_Service,SNOMEDCT,185468001,,
Hypertension,Denom_Service,SNOMEDCT,185470005,,
Hypertension,Denom_Service,SNOMEDCT,225929007,,
