Measure,Component,CodeSystem,Code,Grouping_ID,Diag_Type
aod_init_engage,alcohol_treatment_meds,NDC,00054035613,,
aod_init_engage,alcohol_treatment_meds,NDC,00054035625,,
aod_init_engage,alcohol_treatment_meds,NDC,00054035713,,
aod_init_engage,alcohol_treatment_meds,NDC,00054035725,,
aod_init_engage,alcohol_treatment_meds,NDC,00093503501,,
aod_init_engage,alcohol_treatment_meds,NDC,00093503601,,
aod_init_engage,alcohol_treatment_meds,NDC,00093535286,,
aod_init_engage,alcohol_treatment_meds,NDC,00185003901,,
aod_init_engage,alcohol_treatment_meds,NDC,00185003930,,
aod_init_engage,alcohol_treatment_meds,NDC,00258400060,,
aod_init_engage,alcohol_treatment_meds,NDC,00378414001,,
aod_init_engage,alcohol_treatment_meds,NDC,00378414005,,
aod_init_engage,alcohol_treatment_meds,NDC,00378414101,,
aod_init_engage,alcohol_treatment_meds,NDC,00378414105,,
aod_init_engage,alcohol_treatment_meds,NDC,00378633305,,
aod_init_engage,alcohol_treatment_meds,NDC,00378633380,,
aod_init_engage,alcohol_treatment_meds,NDC,00406117001,,
aod_init_engage,alcohol_treatment_meds,NDC,00406117003,,
aod_init_engage,alcohol_treatment_meds,NDC,00456333001,,
aod_init_engage,alcohol_treatment_meds,NDC,00555090201,,
aod_init_engage,alcohol_treatment_meds,NDC,00555090202,,
aod_init_engage,alcohol_treatment_meds,NDC,00603343221,,
aod_init_engage,alcohol_treatment_meds,NDC,00603343321,,
aod_init_engage,alcohol_treatment_meds,NDC,10135063632,,
aod_init_engage,alcohol_treatment_meds,NDC,16729008101,,
aod_init_engage,alcohol_treatment_meds,NDC,16729008110,,
aod_init_engage,alcohol_treatment_meds,NDC,42291010418,,
aod_init_engage,alcohol_treatment_meds,NDC,42291063230,,
aod_init_engage,alcohol_treatment_meds,NDC,43063046915,,
aod_init_engage,alcohol_treatment_meds,NDC,43063059115,,
aod_init_engage,alcohol_treatment_meds,NDC,47335032608,,
aod_init_engage,alcohol_treatment_meds,NDC,47335032618,,
aod_init_engage,alcohol_treatment_meds,NDC,47335032683,,
