measure_name,value_set_name,value_set_oid,code,codeSystem,codeSystemName,codeSystemVersion,displayName
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,12843005,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Subsequent hospital visit by physician (procedure)
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,18170008,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Subsequent nursing facility visit (procedure)
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,185349003,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Encounter for check up (procedure)
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,185463005,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Visit out of hours (procedure)
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,185465003,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Weekend visit (procedure)
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,19681004,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Nursing evaluation of patient and report (procedure)
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,207195004,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,History and physical examination with evaluation and management of nursing facility patient (procedure)
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,270427003,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Patient-initiated encounter (procedure)
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,270430005,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Provider-initiated encounter (procedure)
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,308335008,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Patient encounter procedure (procedure)
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,390906007,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Follow-up encounter (procedure)
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,406547006,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Urgent follow-up (procedure)
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,439708006,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Home visit (procedure)
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,87790002,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Follow-up inpatient consultation visit (procedure)
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,90526000,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Initial evaluation and management of healthy individual (procedure)
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,99201,2.16.840.1.113883.6.12,CPT,2019,"Office or other outpatient visit for the evaluation and management of a new patient, which requires these 3 key components: A problem focused history; A problem focused examination; Straightforward medical decision making. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are self limited or minor. Typically, 10 minutes are spent face-to-face with the patient and/or family."
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,99202,2.16.840.1.113883.6.12,CPT,2019,"Office or other outpatient visit for the evaluation and management of a new patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; Straightforward medical decision making. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of low to moderate severity. Typically, 20 minutes are spent face-to-face with the patient and/or family."
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,99203,2.16.840.1.113883.6.12,CPT,2019,"Office or other outpatient visit for the evaluation and management of a new patient, which requires these 3 key components: A detailed history; A detailed examination; Medical decision making of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate severity. Typically, 30 minutes are spent face-to-face with the patient and/or family."
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,99204,2.16.840.1.113883.6.12,CPT,2019,"Office or other outpatient visit for the evaluation and management of a new patient, which requires these 3 key components: A comprehensive history; A comprehensive examination; Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate to high severity. Typically, 45 minutes are spent face-to-face with the patient and/or family."
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,99205,2.16.840.1.113883.6.12,CPT,2019,"Office or other outpatient visit for the evaluation and management of a new patient, which requires these 3 key components: A comprehensive history; A comprehensive examination; Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate to high severity. Typically, 60 minutes are spent face-to-face with the patient and/or family."
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,99212,2.16.840.1.113883.6.12,CPT,2019,"Office or other outpatient visit for the evaluation and management of an established patient, which requires at least 2 of these 3 key components: A problem focused history; A problem focused examination; Straightforward medical decision making. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are self limited or minor. Typically, 10 minutes are spent face-to-face with the patient and/or family."
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,99213,2.16.840.1.113883.6.12,CPT,2019,"Office or other outpatient visit for the evaluation and management of an established patient, which requires at least 2 of these 3 key components: An expanded problem focused history; An expanded problem focused examination; Medical decision making of low complexity. Counseling and coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of low to moderate severity. Typically, 15 minutes are spent face-to-face with the patient and/or family."
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,99214,2.16.840.1.113883.6.12,CPT,2019,"Office or other outpatient visit for the evaluation and management of an established patient, which requires at least 2 of these 3 key components: A detailed history; A detailed examination; Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate to high severity. Typically, 25 minutes are spent face-to-face with the patient and/or family."
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,99215,2.16.840.1.113883.6.12,CPT,2019,"Office or other outpatient visit for the evaluation and management of an established patient, which requires at least 2 of these 3 key components: A comprehensive history; A comprehensive examination; Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate to high severity. Typically, 40 minutes are spent face-to-face with the patient and/or family."
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,99241,2.16.840.1.113883.6.12,CPT,2019,"Office consultation for a new or established patient, which requires these 3 key components: A problem focused history; A problem focused examination; and Straightforward medical decision making. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are self limited or minor. Typically, 15 minutes are spent face-to-face with the patient and/or family."
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,99242,2.16.840.1.113883.6.12,CPT,2019,"Office consultation for a new or established patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Straightforward medical decision making. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of low severity. Typically, 30 minutes are spent face-to-face with the patient and/or family."
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,99243,2.16.840.1.113883.6.12,CPT,2019,"Office consultation for a new or established patient, which requires these 3 key components: A detailed history; A detailed examination; and Medical decision making of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate severity. Typically, 40 minutes are spent face-to-face with the patient and/or family."
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,99244,2.16.840.1.113883.6.12,CPT,2019,"Office consultation for a new or established patient, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate to high severity. Typically, 60 minutes are spent face-to-face with the patient and/or family."
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,99245,2.16.840.1.113883.6.12,CPT,2019,"Office consultation for a new or established patient, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate to high severity. Typically, 80 minutes are spent face-to-face with the patient and/or family."
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,99341,2.16.840.1.113883.6.12,CPT,2019,"Home visit for the evaluation and management of a new patient, which requires these 3 key components: A problem focused history; A problem focused examination; and Straightforward medical decision making. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of low severity. Typically, 20 minutes are spent face-to-face with the patient and/or family."
